ID,Other ID,Name,Type,Distance (kly),Constellation,Mag
C54,NGC 2506,,cl-O,10,Monoceros,7.6
C55,NGC 7009,Saturn Nebula,Neb-P,1.4,Aquarius,8
C56,NGC 246,"Skull Nebula",Neb-P,1.6,Cetus,8
C57,NGC 6822,Barnard's Galaxy,gal-IrrB,2300,Sagittarius,9
C58,NGC 2360,Caroline's Cluster,cl-O,3.7,Canis Major,7.2
C59,NGC 3242,Ghost of Jupiter,Neb-P,1.4,Hydra,9
C60,NGC 4038,Antennae Galaxies,gal-Inter,83000,Corvus,10.7
C61,NGC 4039,Antennae Galaxies,gal-Inter,83000,Corvus,13
C62,NGC 247,,gal-S,6800,Cetus,8.9
C63,NGC 7293,Helix Nebula,Neb-P,0.522,Aquarius,7.3
C64,NGC 2362,Tau Canis Majoris Cluster,cl-O & NGC 6729,5.1,Canis Major,4.1
C65,NGC 253,Sculptor Galaxy,gal-S,9800,Sculptor,7.1
C66,NGC 5694,,cl-G,113,Hydra,10.2
C67,NGC 1097,,gal-SB,47000,Fornax,9.3
C68,NGC 6729,R CrA Nebula,Neb,0.424,Corona Australis,-
C69,NGC 6302,Bug Nebula,Neb-P,5.2,Scorpius,13
C70,NGC 300,,gal-S,3900,Sculptor,9
C71,NGC 2477,,cl-O,3.7,Puppis,5.8
C72,NGC 55,,gal-SB,4200,Sculptor,8
C73,NGC 1851,,cl-G,39.4,Columba,7.3
C74,NGC 3132,Eight Burst Nebula,Neb-P,2,Vela,8
C75,NGC 6124,,cl-O,1.5,Scorpius,5.8
C76,NGC 6231,,cl-O & Neb,6,Scorpius,2.6
C77,NGC 5128,Centaurus A,gal-E or gal-S0,16000,Centaurus,7
C78,NGC 6541,,cl-G,22.3,Corona Australis,6.6
C79,NGC 3201,,cl-G,17,Vela,6.8
C80,NGC 5139,Omega Centauri,cl-G,17.3,Centaurus,3.7
C81,NGC 6352,,cl-G,18.6,Ara,8.2
C82,NGC 6193,,cl-O,4.3,Ara,5.2
C83,NGC 4945,,gal-SB,17000,Centaurus,9
C84,NGC 5286,,cl-G,36,Centaurus,7.6
C85,IC 2391,Omicron Velorum Cluster,cl-O,0.5,Vela,2.5
C86,NGC 6397,,cl-G,7.5,Ara,5.7
C87,NGC 1261,,cl-G,55.5,Horologium,8.4
C88,NGC 5823,,cl-O,3.4,Circinus,7.9
C89,NGC 6087,S Normae Cluster,cl-O,3.3,Norma,5.4
C90,NGC 2867,,Neb-P,5.5,Carina,10
C91,NGC 3532,Wishing Well Cluster,cl-O,1.6,Carina,3
C92,NGC 3372,Eta Carinae Nebula,Neb,7.5,Carina,3
C93,NGC 6752,"Great Peacock Globular ",cl-G,13,Pavo,5.4
C94,NGC 4755,Jewel Box,cl-O,4.9,Crux,4.2
C95,NGC 6025,,cl-O,2.5,Triangulum Australe,5.1
C96,NGC 2516,Southern Beehive Cluster,cl-O,1.3,Carina,3.8
C97,NGC 3766,Pearl Cluster,cl-O,5.8,Centaurus,5.3
C98,NGC 4609,,cl-O,4.2,Crux,6.9
C99,TGU H1867,Coalsack Nebula,Dark Neb,0.61,Crux,-
C100,IC 2944,Lambda Centauri Nebula,cl-O & Neb,6,Centaurus,4.5
C101,NGC 6744,,gal-S,34000,Pavo,9
C102,IC 2602,Theta Car Cluster,cl-O,0.492,Carina,1.9
C103,NGC 2070,Tarantula Nebula,cl-O & Neb,170,Dorado,8.2
C104,NGC 362,,cl-G,27.7,Tucana,6.6
C105,NGC 4833,,cl-G,19.6,Musca,7.4
C106,NGC 104,47 Tucanae,cl-G,14.7,Tucana,4
C107,NGC 6101,,cl-G,49.9,Apus,9.3
C108,NGC 4372,,cl-G,18.9,Musca,7.8
C109,NGC 3195,,Neb-P,5.4,Chamaeleon,11.6
